PROJECT,WBS ID,DESCRIPTION,ALIAS,E,CAM,CHARGE #,RESP,PERF,YYYYMM,BCWS HRS/UTS,ACT HRS/UTS,BCWP HRS/UTS,ETC HRS/UTS,BCWS PRIME,BCWP PRIME,ACT PRIME,BCWS T DLRS,BCWP T DLRS,ACT T DLRS,ETC T DLRS,CLIN,CA Clin,E
LRIP10,10A41HEX,"AF41 Assy/Test of Elec Comp, Factory ATP Supt, and FT Support",Block 30,C,HEX,L10A41HEX,HEX,,201306,231.56,0.00,0.00,231.56,7743.37,0.00,0.00,29450.70,0.00,0.00,28739.36,0003,0003,L
LRIP10,10A41HEX,"AF41 Assy/Test of Elec Comp, Factory ATP Supt, and FT Support",Block 30,C,HEX,L10A41HEX,HEX,,201307,416.32,0.00,0.00,416.32,13921.74,0.00,0.00,52949.19,0.00,0.00,51670.29,0003,0003,L
LRIP10,10A41HEX,"AF41 Assy/Test of Elec Comp, Factory ATP Supt, and FT Support",Block 30,C,HEX,L10A41HEX,HEX,,201308,416.32,0.00,0.00,416.32,13921.74,0.00,0.00,52949.19,0.00,0.00,51670.29,0003,0003,L
LRIP10,10A41HEX,"AF41 Assy/Test of Elec Comp, Factory ATP Supt, and FT Support",Block 30,C,HEX,L10A41HEX,HEX,,201309,133.50,0.00,0.00,133.50,4955.10,0.00,0.00,17782.38,0.00,0.00,17386.50,0003,0003,L
LRIP10,10A41HEX,"AF41 Assy/Test of Elec Comp, Factory ATP Supt, and FT Support",Block 30,C,HEX,L10A41HEX,HEX,,201310,38.28,0.00,0.00,38.28,2221.01,0.00,0.00,6408.49,0.00,0.00,6318.16,0003,0003,L
LRIP10,10A41HEX,"AF41 Assy/Test of Elec Comp, Factory ATP Supt, and FT Support",Block 30,C,HEX,L10A41HEX,HEX,,201311,31.63,0.00,0.00,31.63,1835.17,0.00,0.00,5295.20,0.00,0.00,5220.57,0003,0003,L
LRIP10,10A41HEX,"AF41 Assy/Test of Elec Comp, Factory ATP Supt, and FT Support",Block 30,C,HEX,L10A41HEX,HEX,,201312,62.82,0.00,0.00,62.82,3644.82,0.00,0.00,10516.75,0.00,0.00,10368.52,0003,0003,L
LRIP10,10A41HEX,"AF41 Assy/Test of Elec Comp, Factory ATP Supt, and FT Support",Block 30,C,HEX,L10A41HEX,HEX,,201401,115.50,0.00,0.00,115.50,6924.23,0.00,0.00,19979.15,0.00,0.00,20239.79,0003,0003,L
LRIP10,10A41HEX,"AF41 Assy/Test of Elec Comp, Factory ATP Supt, and FT Support",Block 30,C,HEX,L10A41HEX,HEX,,201405,16.00,0.00,0.00,16.00,959.20,0.00,0.00,2767.67,0.00,0.00,2803.78,0003,0003,L
LRIP10,10A41HEX,"AF41 Assy/Test of Elec Comp, Factory ATP Supt, and FT Support",Block 30,C,HEX,L10A41HEX,HEX,,201406,16.80,0.00,0.00,16.80,1007.16,0.00,0.00,2906.06,0.00,0.00,2943.97,0003,0003,L
